delta.rank,pval,level,nseqs,term,name,p.adj,,term,,,,,,,,,
0,0.000281154,2,119,GO:0035195,gene silencing by miRNA,0.015013941,,GO:0035195,,,,,,,,,
0,0.000292365,2,58,GO:0001935,endothelial cell proliferation,0.015522402,,GO:0001935,,,,,,,,,
0,0.000294279,7,418,GO:1902806;GO:2000045,regulation of cell cycle G1/S phase transition,0.015534208,,GO:1902806,GO:2000045,,,,,,,,
0,0.000297773,8,13,GO:0032776,DNA methylation on cytosine,0.015540024,,GO:0032776,,,,,,,,,
0,0.000297405,3,43,GO:0043981;GO:0043982,histone H4-K8 acetylation,0.015540024,,GO:0043981,GO:0043982,,,,,,,,
0,0.000326123,3,552,GO:0010632,regulation of epithelial cell migration,0.016828329,,GO:0010632,,,,,,,,,
0,0.000324563,2,150,GO:0070828,heterochromatin organization,0.016828329,,GO:0070828,,,,,,,,,
0,0.000331138,2,200,GO:0055006;GO:0055013,cardiac cell development,0.016991615,,GO:0055006,GO:0055013,,,,,,,,
0,0.000333767,2,25,GO:0019511,peptidyl-proline hydroxylation,0.017031386,,GO:0019511,,,,,,,,,
0,0.000352301,3,103,GO:2000649,regulation of sodium ion transmembrane transporter activity,0.017877806,,GO:2000649,,,,,,,,,
0,0.000355596,5,17,GO:0021824;GO:0021828;GO:0021856;GO:0021886;GO:0021888;GO:0036484;GO:0036486;GO:0097490;GO:0097491;GO:1903375,trunk neural crest cell migration,0.017945864,,GO:0021824,GO:0021828,GO:0021856,GO:0021886,GO:0021888,GO:0036484,GO:0036486,GO:0097490,GO:0097491,GO:1903375
0,0.000360097,4,21,GO:0035767,endothelial cell chemotaxis,0.018032193,,GO:0035767,,,,,,,,,
0,0.000361233,4,75,GO:0090342,regulation of cell aging,0.018032193,,GO:0090342,,,,,,,,,
0,0.000365685,2,59,GO:0045663,positive regulation of myoblast differentiation,0.018155775,,GO:0045663,,,,,,,,,
0,0.000372615,2,923,GO:0030111;GO:0060828,regulation of Wnt signaling pathway,0.018400376,,GO:0030111,GO:0060828,,,,,,,,
0,0.000384537,5,360,GO:0010594,regulation of endothelial cell migration,0.018820303,,GO:0010594,,,,,,,,,
0,0.000385217,2,10,GO:0035999,tetrahydrofolate interconversion,0.018820303,,GO:0035999,,,,,,,,,
0,0.000405032,2,388,GO:0007478;GO:0007480;GO:0035218,leg disc development,0.019580087,,GO:0007478,GO:0007480,GO:0035218,,,,,,,
0,0.0004041,2,7,GO:0070285,pigment cell development,0.019580087,,GO:0070285,,,,,,,,,
0,0.000418783,3,215,GO:0007009,plasma membrane organization,0.020138849,,GO:0007009,,,,,,,,,
