delta.rank,pval,level,nseqs,term,name,p.adj
0,0.001749615,2,1006,GO:0002694;GO:0050865;GO:0051249,regulation of cell activation,0.049752996
0,0.001744348,2,1428,GO:0009636,response to toxic substance,0.049752996
0,0.001745714,2,62,GO:0030574,collagen catabolic process,0.049752996
0,0.001745714,2,62,GO:0070229,negative regulation of lymphocyte apoptotic process,0.049752996
0,0.001736487,2,265,GO:0072331,signal transduction by p53 class mediator,0.049752996
0,0.001854157,5,15,GO:0002246;GO:0090594,inflammatory response to wounding,0.051607371
0,0.001832665,2,1932,GO:0007017;GO:0000226,microtubule-based process,0.051607371
0,0.001854157,7,15,GO:0010727,negative regulation of hydrogen peroxide metabolic process,0.051607371
0,0.001854157,5,15,GO:0010886,positive regulation of cholesterol storage,0.051607371
0,0.001854157,2,15,GO:0033622,integrin activation,0.051607371
0,0.001854157,2,15,GO:0051238,sequestering of metal ion,0.051607371
0,0.001835988,2,1238,GO:1901137,carbohydrate derivative biosynthetic process,0.051607371
0,0.00193154,4,29,GO:0007100,mitotic centrosome separation,0.052958791
0,0.00193154,2,29,GO:0035723;GO:0070672;GO:0071350,response to interleukin-15,0.052958791
0,0.001922021,2,72,GO:0071168,protein localization to chromatin,0.052958791
0,0.001925209,5,1377,GO:1903827,regulation of cellular protein localization,0.052958791
0,0.00193154,3,29,GO:1905048,regulation of metallopeptidase activity,0.052958791
0,0.001976203,2,279,GO:0002700,regulation of production of molecular mediator of immune response,0.053551093
0,0.001999785,5,54,GO:0002828,regulation of type 2 immune response,0.053551093
