delta.rank,pval,level,nseqs,term,name,p.adj,,,,,,,
0,0.000359251,2,47,GO:0018198,peptidyl-cysteine modification,0.034372075,,,,,,,
0,0.000382393,3,48,GO:0035336;GO:0035338,long-chain fatty-acyl-CoA metabolic process,0.036209102,,,,,,,
0,0.000406474,3,49,GO:0071688,striated muscle myosin thick filament assembly,0.03809654,,,,,,,
0,0.000459551,2,11,GO:0001907,killing by symbiont of host cells,0.041791868,,,,,,,
0,0.000459551,3,11,GO:0009180;GO:0009136;GO:0009188,ribonucleoside diphosphate biosynthetic process,0.041791868,,,,,,,
0,0.000459551,4,11,GO:0019236,response to pheromone,0.041791868,,,,,,,
0,0.000507254,2,477,GO:0014074;GO:0046683,response to purine-containing compound,0.045677688,,,,,,,
0,0.000522101,2,630,GO:0010927,cellular component assembly involved in morphogenesis,0.046558231,,,,,,,
0,0.000550412,2,12,GO:0009438,methylglyoxal metabolic process,0.048610893,,,,,,,
0,0.000571525,2,55,GO:2001014,regulation of skeletal muscle cell differentiation,0.049994815,,,,,,,
0,0.000649249,2,13,GO:0034316,negative regulation of Arp2/3 complex-mediated actin nucleation,0.055732245,,,,,,,
0,0.000649249,2,13,GO:0051873,killing by host of symbiont cells,0.055732245,,,,,,,
0,0.000693757,2,503,GO:0006937,regulation of muscle contraction,0.059001439,,,,,,,
0,0.000756016,3,14,GO:0019244,lactate biosynthetic process from pyruvate,0.063706462,,,,,,,
0,0.000778098,2,140,GO:0033574,response to testosterone,0.064971161,,,,,,,
0,0.000810022,4,247,GO:1903578;GO:0006140;GO:1900542,regulation of nucleotide metabolic process,0.067027458,,,,,,,
0,0.000817566,2,1830,GO:0030029;GO:0030036,actin filament-based process,0.067047737,,,,,,,
0,0.000870666,4,15,GO:0009133,nucleoside diphosphate biosynthetic process,0.070149746,,,,,,,
0,0.000870666,6,15,GO:0046102,inosine metabolic process,0.070149746,,,,,,,
0,0.000890596,2,64,GO:0014850,response to muscle activity,0.071131481,,,,,,,
0,0.000993155,6,16,GO:0014859;GO:1902723;GO:1902725,negative regulation of skeletal muscle cell proliferation,0.078639031,,,,,,,
0,0.00106228,4,68,GO:0000038,very long-chain fatty acid metabolic process,0.083393521,,,,,,,
0,0.001123435,2,17,GO:0032490,detection of molecule of bacterial origin,0.085989608,,,,,,,
0,0.001123435,2,17,GO:0052040;GO:0044532,modulation by symbiont of host programmed cell death,0.085989608,,,,,,,
0,0.001123435,3,17,GO:0090158,endoplasmic reticulum membrane organization,0.085989608,,,,,,,
0,0.001203858,4,71,GO:0031034;GO:0031033,myosin filament assembly,0.091383766,,,,,,,
0,0.001261462,2,18,GO:0006067,ethanol metabolic process,0.094199418,,,,,,,
0,0.00125356,2,72,GO:0035337;GO:0046949,fatty-acyl-CoA metabolic process,0.094199418,,,,,,,
0,0.001310115,4,1091,GO:0007517,muscle organ development,0.097043598,,,,,,,
0,0.00140719,2,19,GO:2001015,negative regulation of skeletal muscle cell differentiation,0.103400292,,,,,,,
0,0.001575588,4,287,GO:0022900,electron transport chain,0.114855345,,,,,,,
0,0.001589573,2,1319,GO:0097435,supramolecular fiber organization,0.11496242,,,,,,,
0,0.001721567,4,21,GO:0046826,negative regulation of protein export from nucleus,0.123535866,,,,,,,
0,0.001736934,-1,174,GO:0051193,obsolete regulation of cofactor metabolic process,0.123672387,,,,,,,
0,0.001810892,3,176,GO:0005977;GO:0006073;GO:0006112;GO:0044042,energy reserve metabolic process,0.127946516,,,,,,,
0,0.001890126,2,22,GO:0048631;GO:0048633,regulation of skeletal muscle tissue growth,0.131521298,,,,,,,
0,0.001890126,3,22,GO:0051883;GO:0051818,killing of cells in other organism involved in symbiotic interaction,0.131521298,,,,,,,
0,0.00193992,3,301,GO:0051591,response to cAMP,0.133971178,,,,,,,
0,0.002066207,4,23,GO:0045819,positive regulation of glycogen catabolic process,0.141627711,,,,,,,
0,0.002088687,3,86,GO:0009629,response to gravity,0.142108048,,,,,,,
0,0.002385243,2,624,GO:0060538,skeletal muscle organ development,0.161091606,,,,,,,
0,0.002440754,2,25,GO:0014732;GO:0014891,striated muscle atrophy,0.163637444,,,,,,,
0,0.002529943,2,193,GO:0042246,tissue regeneration,0.168387893,,,,,,,
0,0.002844855,5,27,GO:0051712,positive regulation of killing of cells of other organism,0.186642816,,,,,,,
0,0.002844855,3,27,GO:0070305;GO:0071321,response to cGMP,0.186642816,,,,,,,
0,0.002940473,3,97,GO:0060465,pharynx development,0.191547856,,,,,,,
0,0.003057878,4,28,GO:0019400;GO:0006071,alditol metabolic process,0.196409878,,,,,,,
0,0.003057878,2,28,GO:0043455,regulation of secondary metabolic process,0.196409878,,,,,,,
0,0.003173704,2,657,GO:0006790,sulfur compound metabolic process,0.202433827,,,,,,,
0,0.003278159,5,29,GO:0043501,skeletal muscle adaptation,0.2076544,,,,,,,
0,0.003424553,2,210,GO:0005976;GO:0044264,polysaccharide metabolic process,0.21544194,,,,,,,
0,0.003505653,2,30,GO:0030240,skeletal muscle thin filament assembly,0.218683675,,,,,,,
